waypoint1	waypoint2	distance_m	duration_s
651 Kapkowski Rd, Elizabeth, NJ 07201	1000 Ocean Ave, Asbury Park, NJ 07712	71290	3113
1 Hudson Pl, Hoboken, NJ 07030	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	192474	7123
1 Hudson Pl, Hoboken, NJ 07030	1 Audrey Zapp Drive, Jersey City, NJ 07305	6975	1446
500 Forrestal Rd, Rio Grande, NJ 08242	651 Kapkowski Rd, Elizabeth, NJ 07201	229363	8033
1 Ocean Ave, Ocean Grove, NJ 07756	Hudson River Waterfront Walkway, Jersey City, NJ 07302	90680	4190
500 Forrestal Rd, Rio Grande, NJ 08242	168 Stevens St, West Cape May, NJ 08204	10173	782
168 Stevens St, West Cape May, NJ 08204	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	68965	2866
208 Broadway, Barnegat Light, NJ 08006	McCormick Hall, Princeton, NJ 08544	124343	6398
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1 Borgata Way, Atlantic City, NJ 08401	201127	7065
600 Boardwalk, Ocean City, NJ 08226	211 Main St, West Orange, NJ 07052	201042	7448
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	600 Boardwalk, Ocean City, NJ 08226	101551	4294
1 Borgata Way, Atlantic City, NJ 08401	40.238645, -74.721615	150099	5342
215 Light House Ave, Cape May Point, NJ 08212	1 Borgata Way, Atlantic City, NJ 08401	84037	3527
211 Main St, West Orange, NJ 07052	208 Broadway, Barnegat Light, NJ 08006	165158	6594
600 Boardwalk, Ocean City, NJ 08226	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	22057	1712
600 Boardwalk, Ocean City, NJ 08226	1 Audrey Zapp Drive, Jersey City, NJ 07305	202065	7566
208 Broadway, Barnegat Light, NJ 08006	1 Borgata Way, Atlantic City, NJ 08401	80139	3963
208 Broadway, Barnegat Light, NJ 08006	40.238645, -74.721615	111259	5770
1 Metlife Stadium Dr, East Rutherford, NJ 07073	211 Main St, West Orange, NJ 07052	22989	1325
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	500 Forrestal Rd, Rio Grande, NJ 08242	142444	5389
521 NJ-47, Cape May, NJ 08204	651 Kapkowski Rd, Elizabeth, NJ 07201	229035	7946
320 7th St, Beach Haven, NJ 08008	1 Audrey Zapp Drive, Jersey City, NJ 07305	161625	6573
1 Hudson Pl, Hoboken, NJ 07030	600 Boardwalk, Ocean City, NJ 08226	205432	7817
